Sample	Group	Station	Fraction	DNA	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q
Fa13.ED.MM15.SD.1.renamed	Fa.ED.15.SD	MM15	E	D	Fa	13	D	1	Near	MM	S	5
Fa13.ED.MM15.SD.2.renamed	Fa.ED.15.SD	MM15	E	D	Fa	13	D	2	Near	MM	S	5
Fa13.ED.MM15.SN.1.renamed	Fa.ED.15.SN	MM15	E	D	Fa	13	N	1	Near	MM	S	5
Fa13.ED.MM15.SN.2.renamed	Fa.ED.15.SN	MM15	E	D	Fa	13	N	2	Near	MM	S	5
Fa13.EcD.MLB.DN.1	Fa.EcD.MLB.DN	MLB	E	cD	Fa	13	N	1	MLB	MLB	D	8
Fa13.EcD.MLB.DN.2	Fa.EcD.MLB.DN	MLB	E	cD	Fa	13	N	2	MLB	MLB	D	8
Fa13.EcD.MLB.SN.2	Fa.EcD.MLB.SN	MLB	E	cD	Fa	13	N	2	MLB	MLB	S	2
Fa13.EcD.MM110.DN.1	Fa.EcD.110.DN	MM110	E	cD	Fa	13	N	1	Off	MM	D	108
Fa13.EcD.MM110.DN.2	Fa.EcD.110.DN	MM110	E	cD	Fa	13	N	2	Off	MM	D	108
Fa13.EcD.MM110.SD.1	Fa.EcD.110.SD	MM110	E	cD	Fa	13	D	1	Off	MM	S	5
Fa13.EcD.MM110.SD.2	Fa.EcD.110.SD	MM110	E	cD	Fa	13	D	2	Off	MM	S	5
Fa13.EcD.MM110.SN.1	Fa.EcD.110.SN	MM110	E	cD	Fa	13	N	1	Off	MM	S	5
Fa13.EcD.MM110.SN.2	Fa.EcD.110.SN	MM110	E	cD	Fa	13	N	2	Off	MM	S	5
Fa13.EcD.MM15.DN.1	Fa.EcD.15.DN	MM15	E	cD	Fa	13	N	1	Near	MM	D	15
Fa13.EcD.MM15.DN.2	Fa.EcD.15.DN	MM15	E	cD	Fa	13	N	2	Near	MM	D	15
Fa13.EcD.MM15.SD.1	Fa.EcD.15.SD	MM15	E	cD	Fa	13	D	1	Near	MM	S	5
Fa13.EcD.MM15.SD.2	Fa.EcD.15.SD	MM15	E	cD	Fa	13	D	2	Near	MM	S	5
Fa13.EcD.MM15.SN.1	Fa.EcD.15.SN	MM15	E	cD	Fa	13	N	1	Near	MM	S	5
Fa13.EcD.MM15.SN.2	Fa.EcD.15.SN	MM15	E	cD	Fa	13	N	2	Near	MM	S	5
